CustomerID,Name,Gender,City,State,Age,JoinDate,LoyaltyTier
1,Customer_1,Male,Delhi,DL,24,01-01-2023,Gold
2,Customer_2,Female,Mumbai,MH,31,02-01-2023,Silver
3,Customer_3,Male,Bangalore,KA,28,03-01-2023,Gold
4,Customer_4,Female,Pune,MH,35,04-01-2023,Platinum
5,Customer_5,Male,Delhi,DL,22,05-01-2023,Silver
6,Customer_6,Female,Mumbai,MH,40,06-01-2023,Gold
7,Customer_7,Male,Pune,MH,29,07-01-2023,Gold
8,Customer_8,Female,Bangalore,KA,33,08-01-2023,Silver
9,Customer_9,Male,Hyderabad,TS,27,09-01-2023,Gold
10,Customer_10,Female,Chennai,TN,36,10-01-2023,Platinum
11,Customer_11,Male,Delhi,DL,30,11-01-2023,Gold
12,Customer_12,Female,Mumbai,MH,26,12-01-2023,Silver
13,Customer_13,Male,Bangalore,KA,41,13-01-2023,Gold
14,Customer_14,Female,Pune,MH,34,14-01-2023,Platinum
15,Customer_15,Male,Hyderabad,TS,23,15-01-2023,Silver
16,Customer_16,Female,Chennai,TN,38,16-01-2023,Gold
17,Customer_17,Male,Delhi,DL,45,17-01-2023,Gold
18,Customer_18,Female,Mumbai,MH,32,18-01-2023,Silver
19,Customer_19,Male,Bangalore,KA,28,19-01-2023,Gold
20,Customer_20,Female,Pune,MH,37,20-01-2023,Gold
21,Customer_21,Male,Hyderabad,TS,33,21-01-2023,Silver
22,Customer_22,Female,Chennai,TN,29,22-01-2023,Gold
23,Customer_23,Male,Delhi,DL,42,23-01-2023,Platinum
24,Customer_24,Female,Mumbai,MH,27,24-01-2023,Silver
25,Customer_25,Male,Bangalore,KA,31,25-01-2023,Gold
26,Customer_26,Female,Pune,MH,36,26-01-2023,Gold
27,Customer_27,Male,Hyderabad,TS,24,27-01-2023,Silver
28,Customer_28,Female,Chennai,TN,39,28-01-2023,Gold
29,Customer_29,Male,Delhi,DL,35,29-01-2023,Gold
30,Customer_30,Female,Mumbai,MH,28,30-01-2023,Silver
31,Customer_31,Male,Bangalore,KA,46,31-01-2023,Platinum
32,Customer_32,Female,Pune,MH,34,01-02-2023,Gold
33,Customer_33,Male,Hyderabad,TS,25,02-02-2023,Silver
34,Customer_34,Female,Chennai,TN,37,03-02-2023,Gold
35,Customer_35,Male,Delhi,DL,29,04-02-2023,Gold
36,Customer_36,Female,Mumbai,MH,41,05-02-2023,Platinum
37,Customer_37,Male,Bangalore,KA,33,06-02-2023,Silver
38,Customer_38,Female,Pune,MH,26,07-02-2023,Gold
39,Customer_39,Male,Hyderabad,TS,38,08-02-2023,Gold
40,Customer_40,Female,Chennai,TN,30,09-02-2023,Silver
41,Customer_41,Male,Delhi,DL,44,10-02-2023,Gold
42,Customer_42,Female,Mumbai,MH,35,11-02-2023,Platinum
43,Customer_43,Male,Bangalore,KA,27,12-02-2023,Silver
44,Customer_44,Female,Pune,MH,32,13-02-2023,Gold
45,Customer_45,Male,Hyderabad,TS,36,14-02-2023,Gold
46,Customer_46,Female,Chennai,TN,28,15-02-2023,Silver
47,Customer_47,Male,Delhi,DL,39,16-02-2023,Gold
48,Customer_48,Female,Mumbai,MH,31,17-02-2023,Gold
49,Customer_49,Male,Bangalore,KA,34,18-02-2023,Silver
50,Customer_50,Female,Pune,MH,29,19-02-2023,Gold
