SalesID,Date,ProductID,CustomerID,StoreID,Quantity,SalesAmount
1,01-02-2023,5,12,3,2,7200
2,02-02-2023,8,4,2,1,2999
3,03-02-2023,2,20,5,3,11997
4,04-02-2023,15,8,1,1,16800
5,05-02-2023,11,30,6,2,42000
6,06-02-2023,7,14,7,1,6999
7,07-02-2023,3,9,4,2,3780
8,08-02-2023,22,18,8,1,21000
9,09-02-2023,18,25,3,1,29800
10,10-02-2023,30,2,9,2,88000
11,11-02-2023,1,16,2,3,8670
12,12-02-2023,12,7,1,1,24500
13,13-02-2023,9,5,6,2,12400
14,14-02-2023,6,11,4,1,3500
15,15-02-2023,4,21,7,1,4990
16,16-02-2023,25,3,5,2,54000
17,17-02-2023,28,19,8,1,37000
18,18-02-2023,10,27,9,3,21900
19,19-02-2023,13,6,3,1,29999
20,20-02-2023,16,15,10,2,71000
21,21-02-2023,21,24,2,1,17000
22,22-02-2023,19,10,1,2,69800
23,23-02-2023,23,32,6,1,25000
24,24-02-2023,14,28,5,2,66000
25,25-02-2023,17,22,4,1,31500
26,26-02-2023,20,13,7,2,64000
27,27-02-2023,24,35,8,1,29900
28,28-02-2023,26,17,3,2,64000
29,01-03-2023,27,26,9,1,34500
30,02-03-2023,29,40,10,1,41000
31,03-03-2023,31,41,2,3,3600
32,04-03-2023,32,34,4,2,3000
33,05-03-2023,33,29,1,1,1600
34,06-03-2023,34,37,5,2,3600
35,07-03-2023,35,45,6,1,2000
36,08-03-2023,36,43,7,2,4800
37,09-03-2023,37,48,8,1,2600
38,10-03-2023,38,39,9,2,5800
39,11-03-2023,39,44,10,1,3200
40,12-03-2023,40,33,3,2,7000
41,13-03-2023,41,42,5,1,11500
42,14-03-2023,42,36,6,2,25000
43,15-03-2023,43,31,7,1,14000
44,16-03-2023,44,23,8,2,31000
45,17-03-2023,45,38,9,1,16800
46,18-03-2023,46,47,10,2,35800
47,19-03-2023,47,49,2,1,19500
48,20-03-2023,48,50,1,2,42000
49,21-03-2023,49,46,3,1,22500
50,22-03-2023,50,35,4,2,48000
